grating,vp,effect,noiseType
0.8,e1,9.745884096977598,1.0
0.8,e1,4.912875762326398,1.73
0.8,e1,1.8287626395104,3.0
0.8,e1,1.0093634643311986,5.2
0.8,e1,6.570918288404799,9.0
0.8,n4,5.399202590108793,baseline
0.8,n4,10.115624666910403,0.58
0.8,n4,9.191532976964798,1.0
0.8,n4,-1.277421723758404,1.73
0.8,n4,-4.924781777537601,3.0
0.8,n4,2.5485215136831996,5.2
0.8,n4,7.657538200311999,9.0
0.8,e2,1.1328002988984025,baseline
0.8,e2,2.2526890903703993,0.58
0.8,e2,1.0269945326432015,1.0
0.8,e2,-0.6347755353280021,1.73
0.8,e2,-2.119716676510399,3.0
0.8,e2,-2.456400957753599,5.2
0.8,e2,0.6040921068423998,9.0
0.8,n3,2.8331359276792014,baseline
0.8,n3,2.5098831753688002,0.58
0.8,n3,2.3894990902376003,1.0
0.8,n3,1.1301068106327983,1.73
0.8,n3,2.7723552475168014,3.0
0.8,n3,2.7812948762720007,5.2
0.8,n3,4.453693586284798,9.0
0.8,n1,2.1096687639632066,baseline
0.8,n1,3.012801194875999,0.58
0.8,n1,0.24055235636959935,1.0
0.8,n1,-3.0803289612920004,1.73
0.8,n1,-3.5295819044903993,3.0
0.8,n1,-6.578293243596801,5.2
0.8,n1,-3.1732483766104003,9.0
0.8,mm,6.821196720219184,baseline
0.8,mm,8.6048204441672,0.58
0.8,mm,11.471946919593602,1.0
0.8,mm,5.3909783982648,1.73
0.8,mm,-0.508592059368798,3.0
0.8,mm,6.481747666143201,5.2
0.8,mm,10.812140238284,9.0
0.8,n7,1.7116399916528096,baseline
0.8,n7,1.7220836172672016,0.58
0.8,n7,1.1349409434792022,1.0
0.8,n7,1.3268035838199999,1.73
0.8,n7,0.2644330752095989,3.0
0.8,n7,0.9395519369103994,5.2
0.8,n7,1.6595309059295986,9.0
0.8,n6,2.3759676244392054,baseline
0.8,n6,1.0787690979471989,0.58
0.8,n6,1.2956039264783996,1.0
0.8,n6,-4.593493384365603,1.73
0.8,n6,-6.669184647760801,3.0
0.8,n6,-5.644977775729602,5.2
0.8,n6,-1.8712522423056015,9.0
0.8,n2,2.0967220290808015,baseline
0.8,n2,6.467531572673602,0.58
0.8,n2,2.0089587428063993,1.0
0.8,n2,6.9134285792616,1.73
0.8,n2,1.1655329027583996,3.0
0.8,n2,1.7025957899895992,5.2
0.8,n2,4.1011475216888,9.0
0.8,n5,5.784532832214403,baseline
0.8,n5,7.147791016784001,0.58
0.8,n5,7.640882337686399,1.0
0.8,n5,0.42172648774079846,1.73
0.8,n5,-9.868482281187202,3.0
0.8,n5,-4.992047432926396,5.2
0.8,n5,5.482756681019199,9.0
