noise,edge,contrasts,ncorrect,ntrials,vp
white,0.15,0.003133,20,40,3
white,0.15,0.006255,33,40,3
white,0.15,0.009378,40,40,3
white,0.15,0.0125,40,40,3
white,0.15,0.00001,22,40,4
white,0.15,0.003133,27,40,4
white,0.15,0.006255,35,40,4
white,0.15,0.009378,40,40,4
white,0.15,0.0125,40,40,4
white,0.15,0.00001,19,40,5
white,0.15,0.003133,26,40,5
white,0.15,0.006255,35,40,5
white,0.15,0.009378,40,40,5
white,0.15,0.0125,40,40,5
white,0.95,0.00001,113,240,pooled
white,0.95,0.003757,147,240,pooled
white,0.95,0.007505,205,240,pooled
white,0.95,0.011252,235,240,pooled
white,0.95,0.015,240,240,pooled
white,0.95,0.00001,17,40,0
white,0.95,0.003757,26,40,0
white,0.95,0.007505,39,40,0
white,0.95,0.011252,40,40,0
white,0.95,0.015,40,40,0
white,0.95,0.00001,15,40,1
white,0.95,0.003757,23,40,1
white,0.95,0.007505,36,40,1
white,0.95,0.011252,38,40,1
white,0.95,0.015,40,40,1
white,0.95,0.00001,20,40,2
white,0.95,0.003757,19,40,2
white,0.95,0.007505,30,40,2
white,0.95,0.011252,40,40,2
white,0.95,0.015,40,40,2
white,0.95,0.00001,22,40,3
white,0.95,0.003757,27,40,3
white,0.95,0.007505,32,40,3
white,0.95,0.011252,40,40,3
white,0.95,0.015,40,40,3
white,0.95,0.00001,19,40,4
white,0.95,0.003757,22,40,4
white,0.95,0.007505,35,40,4
white,0.95,0.011252,39,40,4
white,0.95,0.015,40,40,4
white,0.95,0.00001,20,40,5
white,0.95,0.003757,30,40,5
white,0.95,0.007505,33,40,5
white,0.95,0.011252,38,40,5
white,0.95,0.015,40,40,5
pink,0.048,0.00001,115,240,pooled
pink,0.048,0.003757,134,240,pooled
pink,0.048,0.007505,194,240,pooled
pink,0.048,0.011252,238,240,pooled
pink,0.048,0.015,239,240,pooled
pink,0.048,0.00001,14,40,0
pink,0.048,0.003757,22,40,0
pink,0.048,0.007505,36,40,0
pink,0.048,0.011252,40,40,0
pink,0.048,0.015,40,40,0
pink,0.048,0.00001,27,40,1
pink,0.048,0.003757,26,40,1
pink,0.048,0.007505,38,40,1
pink,0.048,0.011252,40,40,1
pink,0.048,0.015,40,40,1
pink,0.048,0.00001,20,40,2
pink,0.048,0.003757,22,40,2
pink,0.048,0.007505,33,40,2
pink,0.048,0.011252,40,40,2
pink,0.048,0.015,40,40,2
pink,0.048,0.00001,20,40,3
pink,0.048,0.003757,20,40,3
pink,0.048,0.007505,32,40,3
pink,0.048,0.011252,40,40,3
pink,0.048,0.015,39,40,3
pink,0.048,0.00001,18,40,4
pink,0.048,0.003757,22,40,4
pink,0.048,0.007505,30,40,4
pink,0.048,0.011252,38,40,4
pink,0.048,0.015,40,40,4
pink,0.048,0.00001,16,40,5
pink,0.048,0.003757,22,40,5
pink,0.048,0.007505,25,40,5
pink,0.048,0.011252,40,40,5
pink,0.048,0.015,40,40,5
pink,0.15,0.00001,120,240,pooled
pink,0.15,0.005007,125,240,pooled
pink,0.15,0.010005,189,240,pooled
pink,0.15,0.015003,230,240,pooled
pink,0.15,0.02,240,240,pooled
pink,0.15,0.00001,18,40,0
pink,0.15,0.005007,20,40,0
pink,0.15,0.010005,31,40,0
pink,0.15,0.015003,39,40,0
pink,0.15,0.02,40,40,0
pink,0.15,0.00001,22,40,1
pink,0.15,0.005007,23,40,1
pink,0.15,0.010005,36,40,1
pink,0.15,0.015003,39,40,1
pink,0.15,0.02,40,40,1
pink,0.15,0.00001,19,40,2
pink,0.15,0.005007,19,40,2
pink,0.15,0.010005,30,40,2
pink,0.15,0.015003,37,40,2
pink,0.15,0.02,40,40,2
pink,0.15,0.00001,21,40,3
pink,0.15,0.005007,26,40,3
pink,0.15,0.010005,32,40,3
pink,0.15,0.015003,36,40,3
pink,0.15,0.02,40,40,3
pink,0.15,0.00001,23,40,4
pink,0.15,0.005007,19,40,4
pink,0.15,0.010005,32,40,4
pink,0.15,0.015003,40,40,4
pink,0.15,0.02,40,40,4
pink,0.15,0.00001,17,40,5
pink,0.15,0.005007,18,40,5
pink,0.15,0.010005,28,40,5
pink,0.15,0.015003,39,40,5
pink,0.15,0.02,40,40,5
pink,0.95,0.00001,126,240,pooled
pink,0.95,0.012507,141,240,pooled
pink,0.95,0.025005,211,240,pooled
pink,0.95,0.037503,236,240,pooled
pink,0.95,0.05,239,240,pooled
pink,0.95,0.00001,21,40,0
pink,0.95,0.012507,22,40,0
pink,0.95,0.025005,38,40,0
pink,0.95,0.037503,39,40,0
pink,0.95,0.05,40,40,0
pink,0.95,0.00001,19,40,1
pink,0.95,0.012507,23,40,1
pink,0.95,0.025005,39,40,1
pink,0.95,0.037503,40,40,1
pink,0.95,0.05,40,40,1
pink,0.95,0.00001,18,40,2
pink,0.95,0.012507,25,40,2
pink,0.95,0.025005,36,40,2
pink,0.95,0.037503,39,40,2
pink,0.95,0.05,40,40,2
pink,0.95,0.00001,24,40,3
pink,0.95,0.012507,24,40,3
pink,0.95,0.025005,33,40,3
pink,0.95,0.037503,39,40,3
pink,0.95,0.05,40,40,3
pink,0.95,0.00001,22,40,4
pink,0.95,0.012507,26,40,4
pink,0.95,0.025005,31,40,4
pink,0.95,0.037503,39,40,4
pink,0.95,0.05,40,40,4
pink,0.95,0.00001,22,40,5
pink,0.95,0.012507,21,40,5
pink,0.95,0.025005,34,40,5
pink,0.95,0.037503,40,40,5
pink,0.95,0.05,39,40,5
